縣市,市鎮計畫,鄉街計畫,特定區計畫,都市發展地區,住宅區,商業區,工業區,行政區,文教區,公共設施用地,特定專用區,其他_都市發展,非都市發展地區,農業區,保護區,風景區,河川區,其他_非都市發展,總計,道路/人行步道,公園,綠地,廣場,兒童遊樂場,停車場,加油站,市場,學校,社教機構,醫療衛生機構,機關用地,墓地,變電所,體育場,郵政電信,民用航空用地(含機場用地),港埠用地,溝渠河道,捷運系統/交通/車站/鐵路,環保等設施,其他用地
總計,205341.6579,36018.727,239713.5522,209314.3731,65078.7643,8132.9527,20982.6546,182.5106,1203.3004,92331.0287,15041.7241,6361.4377,271759.564,99020.879,135133.2855,2748.1725,12568.6878,22288.5392,92331.0287,35967.9044,13268.9617,2322.7924,552.0259,519.583,711.5337,58.9788,622.3959,11444.4686,205.0938,284.8109,6258.0714,1957.0566,1155.9057,1008.4623,54.8942,1382.64,2216.2555,2216.6358,3017.9111,1077.2145,6027.4325
新北市,19494.5953,0,104461.2851,24487.0224,7055.4571,792.1349,2275.844,3.7304,111.8989,11510.9332,1338.7068,1398.3171,99468.858,5357.8394,88582.8917,522.3892,1735.1743,3270.5634,11510.9332,3954.7209,1280.9531,270.2259,68.9602,46.7221,85.6174,6.022,64.7613,1178.7231,9.7045,23.7053,468.8166,520.7071,709.6908,111.3346,1.9012,0,79.2889,194.9874,340.6697,202.9216,1890.4995
臺北市,27179.97,0,0,12962.35,3842.24,928.9,415.06,78.05,78.71,7163.76,247,208.63,14217.62,527.87,6924.33,185.53,1811.54,4768.35,7163.76,2327.91,1152.61,102.05,18.02,1.15,19.06,7.42,50.17,1066.06,20.73,81.9,563.9,297.98,22.61,28.55,22.43,256.36,0,43.58,185.58,152.61,743.08
桃園市,13553.837,4748.5921,13888.2513,14818.4564,4906.5644,506.8586,2941.721,6.07,72.442,5771.4146,415.5381,197.8477,17372.224,7510.818,7827.8023,213.8,496.6437,1323.16,5771.4146,2917.8418,527.63,181.8545,27.8521,63.9818,71.786,3.595,32.7487,861.3291,4.87,20.0549,554.9448,71.21,27.1509,62.39,7.0547,0,0,34.1153,197.285,39.0544,64.6656
臺中市,24828.29,0,29040.43,33601.24,9965.3,1017.36,2610.83,0,302.25,11940.81,7455.42,309.27,20267.48,15666.27,3160.85,383.85,1012.63,43.88,11940.81,5476.76,1793.93,374.68,47.06,78.86,80.65,4.08,99.85,1180.46,33.77,33.77,574.14,171.52,78.25,135.04,10.6,0,0,926.78,436.18,192.98,211.45
臺南市,30829.38,0,21603.37,24677.85,8072.51,768.75,3640.61,4.95,198.99,9954.33,1239.52,798.19,27754.9,15963.68,6569.35,0,2771.78,2450.09,9954.33,4577.12,1244.95,239.34,99.59,49.76,93.9,2.9,84.36,1140.73,26.94,12.37,399.64,160.57,36.49,113.94,3.32,397.6,288.54,273.05,358.17,140.4,210.65
高雄市,32525.54,0,9750.18,30000.91,8669.65,1565.66,3127.86,17.02,107.89,15287.87,948.39,276.57,12274.81,9158.52,2225.85,217.81,444.49,228.14,15287.87,5400.62,2823.59,545.29,75.75,62.48,125.82,8.17,100.84,1558.44,19.72,42.26,1905.77,106.31,76.41,150.77,1.05,244.45,953.22,289.99,282.01,93.23,421.68
宜蘭縣,4125.66,2726.74,807.1817,4048.2454,1343.7175,176.4327,529.26,8.1352,7.88,1585.114,229.2462,168.4598,3611.3363,2506.6194,660.0138,11.89,431.6031,1.21,1585.114,736.6954,145.0225,20.8836,9.7706,14.27,15.8883,1.2,14.16,228.1832,6.39,9.31,111.3679,18.17,6.5703,41.28,2.26,0,0,37.9096,109.14,4.0351,52.6075
新竹縣,2863.8705,1326.8998,1259.5079,3785.7688,1202.9787,158.588,717.4213,23.938,18.8946,1422.31,196.3102,45.328,1664.5094,1035.4598,477.4719,0,151.5777,0,1422.31,623.723,169.5737,36.9305,8.7556,15.3412,25.0305,1.4793,8.99,240.3329,2.7341,9.0652,41.2214,10.9103,3.9962,36.1526,0.3692,0,0,40.6993,100.2049,3.0285,43.7716
苗栗縣,4141.5742,1041.5815,2411.5132,4224.4217,1570.2088,165.4204,629.1583,3.1229,5.2002,1601.4479,225.2181,24.6451,3370.2472,2449.5936,419.7858,0,346.0056,154.8622,1601.4479,732.58,138.6041,82.2555,17.4634,10.3502,12.8252,0.9535,12.4061,240.9967,0.6155,0,41.9685,13.5148,19.9661,28.6097,0.4951,0,0,21.1227,175.7234,22.38,28.6174
彰化縣,4349.23,4451.02,4550.39,7581.4,3322.85,343.69,692.45,2.24,29.04,2968.71,148.11,74.31,5769.24,5617.85,66.95,2.23,82.21,0,2968.71,1181.53,656.1,33.76,22.36,45.3,19.46,1,27.08,474.14,11.56,5.9,101.08,49.15,10.05,27.52,0.77,0,0,32.91,154.93,4.01,110.1
南投縣,4889.4643,1318.6,6335.9583,4931.8369,1558.2879,172.2637,311.0869,1.51,56.24,2563.3584,125.77,143.32,7612.1857,3046.0081,2055.2076,0,114.39,2396.58,2563.3584,830.321,202.4406,81.8209,6.5321,26.996,24.7704,2.2075,18.1845,267.2285,2.2955,3.39,75.5421,57.66,15.31,23.52,0.46,2.33,0,35.86,15.2739,27.1556,844.0598
雲林縣,4254.7326,3584.6423,1941.63,4926.5641,2117.0887,241.4372,395.3229,1.8074,36.7409,1978.3836,141.3547,14.4287,4854.4408,4530.7672,20.087,0.5229,261.6137,41.45,1978.3836,1061.7534,125.8984,35.9411,14.2374,11.45,18.0748,2.2082,16.2507,369.2557,8.2246,0.14,71.7874,28.2184,7.8404,50.8327,1.1821,0,8.09,56.7692,35.2635,24.9241,30.0415
嘉義縣,3034.9507,5143.4423,8737.64,6278.8311,2087.4493,189.0723,560.0711,26.6167,13.0098,2866.0949,195.4911,341.0259,10637.2019,5563.3722,2293.81,18.84,449.9597,2311.22,2866.0949,1142.9934,355.0161,89.2857,59.966,17.9217,23.5818,1.4921,13.8813,445.2607,1.6399,0,98.098,54.244,3.7244,25.87,0.8119,0,0,22.9323,90.8807,27.24,391.2549
屏東縣,3584.72,6655.07,6268.78,8717.66,2703.5,228.64,639.66,2.99,8.11,3608.54,37.83,1488.39,7790.91,5215.49,1904.36,0,116.6,554.46,3608.54,1209.74,934.24,96.45,14.51,21.05,22.06,4.11,31.44,363.67,4.44,9.67,155.28,56.75,3.7,11.46,1.07,5.87,39.99,104.52,73.38,6.41,438.73
臺東縣,4432.82,1140.489,3210.217,3528.896,1225.41,103.522,145.41,0.34,4.82,1743.307,54.67,251.417,5254.63,2473.76,2242.61,7.85,282.26,248.15,1743.307,589.5,277.33,12.11,13.43,8.44,21.38,1.34,6.907,239.37,1.52,4.89,165.41,18.75,4.66,28.42,0,127.02,16.06,67.1,119.8,8.96,10.91
花蓮縣,3242.33,3821.43,5259.09,5180.71,1374.1416,210.11,496.14,1.02,94.85,2698.5084,209.05,96.89,7142.14,4351.88,1321.89,6.54,1452.7,9.13,2698.5084,823.14,447.49,49.22,22.57,34.91,17.72,2.26,16.42,520.01,5.51,11.42,176.2084,28.65,8.72,38.74,0.67,0,102.82,11.49,184.18,28.32,168.04
澎湖縣,726.5615,60.22,291.8357,666.7507,175.3074,37.0229,39.2291,0,0.214,367.5213,19.9289,27.5271,411.8665,166.9713,117.7749,0,0,127.1203,367.5213,128.4573,82.7207,1.1847,10.9585,0.81,2.6074,0.7012,3.6363,55.2787,1.6397,0.9855,28.0963,1.392,5.5066,7.7527,0,0,26.7766,0,0,4.1652,4.8519
基隆市,7739.5,0,0,4245.2954,1402.78,118.92,237.08,0.57,0,1987.2654,276.96,221.72,3494.2046,20.25,2692.1009,6.8304,154.88,620.1433,1987.2654,526.9035,312.58,8.95,0.73,1.75,8.4119,4.31,6.79,273.59,27.46,0,134.9,232.61,65.24,26.38,0.11,0,219.37,6.28,72.92,26.93,31.05
新竹市,4626,0,0,3386.7,1166.06,188.35,204.43,0,4.96,1319.14,418.72,85.04,1239.3,544.55,281,210.1,198,5.65,1319.14,471.06,241.8,21.28,6.33,0.76,9.21,0.99,4.16,337.34,5.7,0,38.1,9.41,7.11,14.39,0.22,2.52,0,0,62.13,26.4,60.23
嘉義市,4918.6318,0,1156.9395,3352.0213,1135.28,172.14,234.75,0.32,15.65,1627.95,62.63,103.3013,2723.55,2119.69,339.96,9.27,254.63,0,1627.95,716.3547,119.7025,30.46,2.37,6.82,8.25,1.7,5.55,274.94,1.31,11.89,185.18,0,2.1,20.71,0.12,0,0,13.51,23.64,2.71,200.6328
金門縣,0,0,15536.28,3194.59,121.26,39.18,139.26,0.08,35.51,1813.61,1035.91,9.78,12341.69,5168.96,2815.75,783.3,0,3573.68,1813.61,460.46,209.64,8.82,2.03,0.36,4.67,0.37,3.18,114.6,4.69,4.09,295.19,29.19,19.56,13,0,201.29,378.22,3.03,0.55,21.41,39.26
連江縣,0,0,3203.0725,716.8529,60.7229,8.5,0,0,0,550.65,19.95,77.03,2486.2196,24.66,2133.4396,167.42,0,160.7,550.65,77.72,27.14,0,2.78,0.1,0.76,0.47,0.63,14.53,3.63,0,71.43,20.14,21.25,11.8,0,145.2,103.88,0,0,17.94,31.25
