年度,建造執照總件數,建造執照總樓地板面積,住宅(H-2類)宅數_建造,住宅(H-2類)_建造,宿舍安養(H-1類)_建造,商業類(B類)_建造,工業/倉儲類(C類)_建造,辦公/服務類(G類)_建造,休閒/文教類(D類)_建造,衛生/福利/更生類(F類)_建造,公共集會類(A類)_建造,宗教/殯葬類(E類)_建造,危險物品類(I類)_建造,其他_建造,使用執照總件數,使用執照總樓地板面積,住宅(H-2類)宅數_使用,住宅(H-2類)_使用,宿舍安養(H-1類)_使用,商業類(B類)_使用,工業/倉儲類(C類)_使用,辦公/服務類(G類)_使用,休閒/文教類(D類)_使用,衛生/福利/更生類(F類)_使用,公共集會類(A類)_使用,宗教/殯葬類(E類)_使用,危險物品類(I類)_使用,其他_使用
95,35184,36664413,116831,19737713,243516,2412478,7031241,2991164,1667810,403696,180075,176901,15448,1804371,37978,36202229,124120,20802938,351842,2969856,5658325,2310545,1963544,494289,84564,173524,17426,1375376
96,31704,34732493,106270,19358714,356998,1972294,5955876,2939010,1967672,209280,41848,387188,31491,1512122,34797,36024385,130596,21578032,603820,918106,6163143,2772328,1998771,425343,60293,170402,30148,1303999
97,19484,26166355,69941,13911666,312573,901335,5537210,2120079,1439692,319668,160573,264722,27230,1171607,27376,32717134,111202,18414605,233455,1002028,5355333,3549581,2058782,583728,109933,215577,32678,1161434
98,20517,19915953,51180,10087537,242948,770747,3357023,1803098,1868382,324985,71691,247588,9538,1132416,16770,26534930,75870,13517972,441861,1191590,4821728,2582687,2227010,353167,198626,234140,16285,949864
99,29696,31174017,84518,16737408,129168,1013204,6401229,2473105,1741948,610098,197843,316732,23869,1529413,22293,24013834,71875,13315090,194565,563213,4424911,2076337,1284411,266410,61873,215777,10723,1600524
100,33161,34148423,97755,19786931,209123,757476,6132760,2076179,1287603,271198,677181,147051,26456,2776465,26250,25885034,71565,13253304,236246,859465,6013972,1329646,1497456,399191,59356,182354,16430,2037614
101,31237,32882939,98663,19319459,178938,1064986,5616946,1973615,1178370,509457,96852,214271,37288,2692757,26903,27761024,80653,15743721,170315,613795,5054628,1932119,1517068,298172,41973,279567,18909,2090757
102,33531,39760495,133072,25416782,206875,1639817,5839337,1982717,1094334,555239,55508,213125,31007,2725754,28014,28771809,86438,16887729,188158,627985,5086044,1946248,1364936,258107,164866,189318,51270,2007148
103,31994,38634904,124127,22230818,289146,1961250,6298000,2528920,956748,298819,107430,233072,36367,3694334,28806,31718120,91883,18109432,133473,1453133,5259698,1922403,1266778,514640,85342,225778,30804,2716639
104,27643,32595657,106752,18232801,280280,869853,6595431,1717122,842645,439766,126806,139083,17547,3334323,28837,32868462,99421,18981866,270003,1231442,5603725,2260022,1315946,464808,78340,153840,21659,2486811
105,22511,26235287,79490,13264290,173536,1053834,5593609,1460476,894343,571530,78182,243773,49034,2852680,23552,29988350,97620,17646434,236495,1109810,5689664,1412637,844175,347700,105020,189191,26417,2380807
106,25035,29883925,91981,15251789,237991,1453034,6235115,1364458,1203320,427533,114961,225232,34886,3335606,22506,28818031,88636,15462618,157243,976141,6109181,1865504,950932,587804,42480,148229,48165,2469734
107,27344,33984220,121689,18676925,219737,828769,7751460,2029185,1455041,686869,148511,216080,34389,1937254,22860,28366008,98953,16451813,199509,1046631,5275134,1661154,1357510,391252,73289,165058,52309,1692349
108,27143,36927792,148566,21950228,157486,811827,7979121,1919903,939721,798110,93435,296858,98186,1882917,22026,26488606,92284,14786505,118736,776136,5907058,1435210,1008018,550591,104246,221813,34061,1546232
109,25980,41521034,160039,23194608,250229,1081367,10196956,2353874,1196471,533718,107878,330908,64062,2210963,22370,28247176,98260,15465693,302503,1161752,6413295,1712146,1101534,409799,139979,198261,14891,1327323
110,26089,43425428,170465,24874226,183798,1482504,6861516,3380031,1225927,769031,101110,315227,75515,4156543,22486,28022718,104872,15620275,137170,838972,6584640,1368325,1114772,401480,174635,144060,51771,1586618
