縣市,都市計畫區別,面積總計,都市發展地區,住宅區,商業區,工業區,行政區,文教區,公共設施用地,特定專用區,其他_都市發展,非都市發展地區,農業區,保護區,風景區,河川區,其他_非都市發展
新北市,林口特定區(新北市部分),11389.87,2469.77,425.58,64.05,280.56,0,9.49,1469.12,130.13,90.85,8920.1,887.43,8032.68,0,0,0
新北市,坪林水源特定區,54.9,20.87,5.74,1.23,0,0,0,13.9,0,0,34.04,6.5,13.11,3.95,10.47,0
新北市,野柳風景特定區,507.31,27.67,8.19,1.11,0,0,0,17.97,0,0.41,479.63,0,5.36,0,0,474.27
新北市,烏來水源特定區,154.91,49.78,11.83,3.9,0,0,0,32.52,0.31,1.23,105.14,0,78.37,0,26.76,0
新北市,東北角海岸特定區(新北市部分),13104.9,1401.2,54.85,5.11,0,0,0,1141.3,80.54,119.41,11703.7,559.56,10835.67,0,93.43,215.04
新北市,十分風景特定區,55.26,24.68,1.59,0.33,0,0,0,8.82,0,13.94,30.58,8.88,12.96,0,8.74,0
新北市,台北水源特定區(南北勢溪),68697.9,2440.1,237.3,1.68,0,0,2.69,1649.49,0.04,548.9,66257.81,98.67,66015.69,0,143.45,0
新北市,北海岸風景特定區,3264.34,496.05,8.56,0.92,2.11,0,0,434.79,0,49.66,2768.3,1620.64,880.42,0,0,267.24
新北市,淡海新市鎮特定區,1748.64,1747.81,661.79,123.49,0,1.02,7.07,637.23,158.99,158.23,0.82,0,0,0,0,0.82
新北市,台北大學社區特定區,183.94,183.94,59.18,13.99,0,0,0,109.91,0.25,0.61,0,0,0,0,0,0
新北市,新店水源特定區,863.2,156.97,44.82,0.54,0,0,0,110.58,1.03,0,706.23,7.76,382.34,144.9,171.21,0.01
新北市,台北港特定區,4436.11,1225.57,111.42,18.64,6.91,0,0,267.32,807.94,13.34,3210.54,480.34,358.76,0,68.72,2302.72
桃園市,高速公路中壢內壢交流道特定區,2196.3,534.71,86.57,3.76,90.98,0.27,7.35,312.53,11.51,21.74,1661.59,1636.69,0,0,24.9,0
桃園市,林口特定區(桃園部分),7331.6,1995.37,253.71,36.35,714.68,0,41.56,786.74,160.14,2.2,5336.23,269.98,5066.25,0,0,0
桃園市,石門水庫風景特定區,3249.13,104.54,21.38,17.65,0,0,0,50.4,0,15.11,3144.59,0,1934.27,0,0,1210.32
桃園市,小烏來風景特定區,194.46,49.22,8.5,0.53,0.85,0,0,35.02,0.12,4.2,145.24,31.31,78.12,0,33.69,2.12
桃園市,巴陵達觀山風景特定區,184.21,18.57,2.05,1.22,0,0,0,11.77,0.05,3.48,165.64,0,157.72,0,7.92,0
桃園市,桃園航空貨運暨客運園區(大園南港區)特定區,242.55,222.23,75.41,22.65,0,0,0,72.15,52.02,0,20.32,0,0,0,0,20.32
桃園市,桃園高鐵站,490,457.29,152.86,36.61,0,0,0,204.14,63.68,0,32.71,0,0,0,32.71,0
臺中市,臺中中市大坑風景區,3543.83,1601.13,403.46,0,0,0,7.15,1003.98,8.38,178.16,1942.7,1566.39,0,376.31,0,0
臺中市,谷關風景特定區,147.88,53.35,5.83,1,0,0,0,20.6,0.62,25.3,94.53,4.39,61.95,0,28.19,0
臺中市,梨山風景特定區,279.4,59.46,18.46,1.97,0,0,0,31.47,1.52,6.04,219.94,0,219.94,0,0,0
臺中市,鐵砧山風景特定區,138.96,40.94,1.51,0.22,0,0,0,21.28,2.65,15.28,98.02,0,98.02,0,0,0
臺中市,中部科學工業園區台中基地附近特定區,2968.71,1227.13,137.81,0,14.46,0,18.57,765.79,290.5,0,1741.58,1697.78,0,0,43.8,0
臺中市,高速公路王田交流道附近特定區,1286.4,641.27,171.47,34.18,108.55,0,0,264.05,62.74,0.28,645.13,624.67,0,0,20.46,0
臺中市,石岡水壩特定區,754.42,112.84,35.76,3.01,6.52,0,0,65.67,1.8,0.08,641.58,285.25,136.19,0,220.14,0
臺中市,台中港特定區,19920.83,12563.95,2198.9,145.53,657.19,0,3.36,2829.86,6650.79,78.32,7356.88,4667.02,2509.43,0,169.76,10.67
臺南市,台南市安平港歷史風貌園區,467.98,411.62,64.47,32.68,0,0,5.2,244.27,61.89,3.11,56.36,0,47.05,0,2.35,6.96
臺南市,高速公路新營交流道,1091.78,340.91,65.82,2.99,117.87,0,1.81,136.1,16.2,0.12,750.87,645.67,0,0,105.2,0
臺南市,高速公路麻豆交流道,1748.37,717.81,245.42,12.34,216.02,0,4.3,230.42,6.48,2.83,1030.56,1030.56,0,0,0,0
臺南市,高速公路永康交流道,3544.6,2592.27,840.25,41.53,822.56,0,39.19,788.18,58.51,2.05,952.33,871.9,12.91,0,67.46,0.06
臺南市,高速公路台南交流道,760.15,337.67,99.72,4.69,114.29,0,7.4,111.57,0,0,422.48,412.35,0,0,10.13,0
臺南市,曾文水庫特定區(臺南市部分),1140.24,97.55,8.63,0,0,0,0,59.47,0,29.45,1042.69,324.02,533.32,0,0,185.35
臺南市,關子嶺特定區,868.92,192.57,42.44,4.82,0,0,0,98.84,13.31,33.16,676.35,108.49,519.4,0,10.01,38.45
臺南市,南鯤鯓特定區,175.08,122.3,15.55,1.24,0,0,0,73.29,0.3,31.92,52.78,14.84,0,0,24.98,12.96
臺南市,虎頭埤特定區,424.15,220.22,2.92,1.83,0,0,0,116.32,76.6,22.55,203.93,199.89,0,0,4.04,0
臺南市,烏山頭水庫風景特定,7433.03,362.59,23.98,0,1.54,0.89,0,196.34,106.58,33.26,7070.44,575.76,5146.17,0,1348.51,0
臺南市,臺南高鐵站,298.93,298.93,83,10.87,0,0,0,138.94,66.12,0,0,0,0,0,0,0
臺南市,臺南科南工業園區特,3287.42,2133.47,17.19,0,266.43,0.06,0,801.68,573.61,474.5,1153.95,1153.45,0,0,0.5,0
臺南市,臺南都會公園特定區,362.7,195.59,62.65,8.08,22.34,0,0,61.68,40.84,0,167.11,148.78,0,0,18.33,0
高雄市,高速公路岡山交流道,694.92,194.12,45.36,1.89,77.74,0,0,67.56,1.57,0,500.8,485.92,0,0,14.88,0
高雄市,美濃中正湖特定區,154.17,67.73,13.45,0,0,0,0,46.99,0,7.29,86.44,82.12,0,0,4.32,0
高雄市,澄清湖特定區,3246.05,1762.24,581.92,38.78,69.81,0,9.33,979.89,43.73,38.78,1483.81,959.06,298.81,210.53,15.41,0
高雄市,高速公路楠梓交流道,581.19,221.07,63.21,4.93,58.31,0,0,94.16,0,0.46,360.12,355.07,0,0,5.05,0
高雄市,大坪頂特定區,1576.22,743,417.57,8.66,17.08,0,0,294.94,4.75,0,833.22,247.19,558.15,0.53,4.89,22.46
