縣市,總件數,總樓地板面積,住宅(不含農舍)(H-2類)宅數,住宅(不含農舍)(H-2類),農舍(H-2類)宅數,農舍(H-2類),宿舍安養(H-1類),商業類(B類),工業/倉儲類(C類),辦公/服務類(G類),休閒/文教類(D類),衛生/福利/更生類(F類),公共集會類(A類),宗教/殯葬類(E類),危險物品類(I類),其他,1-5層棟數,1-5層,6-10層棟數,6-10層,11-15層棟數,11-15層,16-20層棟數,16-20層,21層以上棟數,21層以上,地下層棟數,地下層,都市計畫區域內_住宅區,都市計畫區域內_商業區,都市計畫區域內_工業區,都市計畫區域內_行政區,都市計畫區域內_文教區,都市計畫區域內_風景區,都市計畫區域內_農業區,都市計畫區域內_其他,都市計畫區域外_住宅,都市計畫區域外_非住宅
總計,2236,2733131,11209,1624871,69,19817,20308,25431,647833,52038,71040,59027,2340,36886,1334,172206,3526,1515464,61,301813,114,833529,7,37310,2,45015,0,0,1350721,75386,248880,49236,35872,3023,180156,427482,71790,290585
新北市,48,273761,1844,229138,1,160,3005,6595,27101,4226,1715,1821,0,0,0,0,37,44476,8,25976,28,149954,1,21983,1,31372,0,0,230436,6595,30106,0,1454,0,0,1821,2398,951
臺北市,19,136841,609,76067,1,644,0,0,2983,1606,9820,45234,0,0,0,487,7,6366,7,20869,9,109606,0,0,0,0,0,0,73411,5393,2983,45234,9820,0,0,0,0,0
桃園市,140,506427,2386,345445,7,1609,0,0,148631,2969,1622,4848,0,326,977,0,424,188114,17,103592,31,214721,0,0,0,0,0,0,261599,0,110463,0,883,282,111052,0,1285,20863
臺中市,175,362750,1940,295402,4,1952,0,0,28830,4346,19792,738,0,0,0,11690,361,140013,9,38747,20,183990,0,0,0,0,0,0,286992,1191,0,0,1709,0,7030,30678,0,35150
臺南市,338,207420,835,131730,1,405,15567,16940,26196,4009,1534,1091,0,445,0,9503,574,166215,3,6739,2,19139,6,15327,0,0,0,0,111925,5438,21493,0,0,0,21226,31259,0,16079
高雄市,217,242942,1338,185333,0,0,0,493,19787,3498,15943,327,51,10172,0,7338,263,121594,1,2281,12,105424,0,0,1,13643,0,0,151301,36315,7940,0,15126,0,9881,10716,669,10994
宜蘭縣,80,45852,160,20394,23,6895,407,0,13441,4493,222,0,0,0,0,0,101,40387,1,5465,0,0,0,0,0,0,0,0,8805,255,0,411,222,0,3292,0,2679,30188
新竹縣,47,88736,202,31266,1,444,0,0,43626,621,5816,0,0,0,357,6606,91,34969,5,39681,3,14086,0,0,0,0,0,0,19313,0,43923,0,0,0,15279,6315,3816,90
苗栗縣,49,60003,106,16093,1,290,0,0,29803,3466,0,4455,0,5340,0,556,48,18795,2,33685,1,7523,0,0,0,0,0,0,13327,5914,0,0,0,0,0,5322,713,34727
彰化縣,169,140482,372,58665,4,677,0,0,44072,1777,1606,513,0,0,0,33172,329,126845,1,2346,1,11291,0,0,0,0,0,0,37794,0,2346,0,654,0,0,84912,14241,535
南投縣,199,72782,224,40332,1,369,0,0,11290,451,1309,0,0,28,0,19003,256,72782,0,0,0,0,0,0,0,0,0,0,27965,357,10885,0,1309,0,414,7224,5106,19522
雲林縣,207,121485,344,59808,4,982,0,1403,36984,1253,1261,0,0,99,0,19695,325,110961,0,0,5,10524,0,0,0,0,0,0,34858,12387,0,0,0,0,2018,617,12704,58901
嘉義縣,88,66296,69,11608,4,854,702,0,27765,66,589,0,0,0,0,24712,103,66296,0,0,0,0,0,0,0,0,0,0,5500,0,0,0,0,0,0,55099,5697,0
屏東縣,198,118183,282,43580,4,769,0,0,1860,8193,4792,0,0,20476,0,38513,249,118183,0,0,0,0,0,0,0,0,0,0,29633,0,0,0,0,0,417,30036,11381,46716
臺東縣,48,16256,39,7079,2,570,627,0,5044,2083,244,0,0,0,0,609,54,16256,0,0,0,0,0,0,0,0,0,0,7112,96,0,1852,0,2741,156,231,0,4068
花蓮縣,15,5990,22,3447,1,563,0,0,0,1861,0,0,0,0,0,119,15,5990,0,0,0,0,0,0,0,0,0,0,3548,0,0,1062,0,0,563,0,317,500
澎湖縣,35,8824,37,7524,0,0,0,0,0,1220,80,0,0,0,0,0,35,8824,0,0,0,0,0,0,0,0,0,0,1540,518,0,0,0,0,0,0,0,6766
基隆市,3,12347,56,8514,0,0,0,0,3353,0,480,0,0,0,0,0,15,12347,0,0,0,0,0,0,0,0,0,0,8514,0,3353,0,480,0,0,0,0,0
新竹市,32,30189,211,28994,0,0,0,0,1026,169,0,0,0,0,0,0,77,17363,5,5555,2,7271,0,0,0,0,0,0,16111,0,0,0,0,0,3294,0,10784,0
嘉義市,94,27691,86,18433,0,0,0,0,296,4747,4215,0,0,0,0,0,111,25896,1,1795,0,0,0,0,0,0,0,0,17755,927,296,0,4215,0,0,4498,0,0
金門縣,26,9840,47,6019,10,2634,0,0,0,984,0,0,0,0,0,203,37,9840,0,0,0,0,0,0,0,0,0,0,3282,0,0,677,0,0,5534,0,0,347
連江縣,1,2289,0,0,0,0,0,0,0,0,0,0,2289,0,0,0,1,2289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2289,0,0
